iter	Passed	Remaining
226	662	2255
227	664	2248
228	665	2240
229	666	2232
230	670	2231
231	672	2224
232	674	2218
233	676	2213
234	679	2211
235	680	2204
236	682	2196
237	685	2194
238	688	2193
239	690	2185
240	691	2178
241	693	2170
242	694	2162
243	695	2155
244	697	2148
245	701	2149
246	702	2142
247	704	2135
248	707	2133
249	708	2126
250	710	2120
251	712	2113
252	714	2109
253	716	2104
254	718	2098
255	719	2091
256	721	2084
257	727	2090
258	739	2114
259	742	2113
260	749	2120
261	752	2119
262	758	2126
263	764	2132
264	769	2133
265	773	2134
266	779	2139
267	781	2133
268	785	2134
269	786	2127
270	788	2120
271	790	2114
272	793	2112
273	794	2105
274	795	2097
275	797	2090
276	799	2087
277	800	2080
278	802	2073
279	803	2066
280	805	2059
281	807	2056
282	809	2050
283	810	2043
284	812	2037
285	813	2030
286	814	2024
287	816	2017
288	818	2012
289	819	2006
290	820	1999
291	824	1998
292	825	1991
293	827	1986
294	828	1980
295	830	1974
296	831	1968
297	832	1961
298	834	1955
299	838	1957
300	840	1951
301	841	1945
302	843	1939
303	845	1936
304	847	1930
305	848	1925
306	850	1919
307	851	1913
308	855	1912
309	856	1906
310	858	1901
311	859	1895
312	860	1889
313	861	1883
314	865	1881
315	866	1875
316	868	1872
317	870	1867
318	873	1865
319	875	1859
320	876	1853
321	877	1848
322	878	1842
323	880	1836
324	884	1837
325	886	1832
326	887	1827
327	889	1821
328	891	1819
329	893	1813
330	894	1807
331	895	1802
332	896	1796
333	898	1792
334	902	1791
335	903	1786
336	905	1780
337	906	1775
338	907	1769
339	910	1767
340	911	1762
341	913	1756
342	916	1754
343	917	1750
344	919	1745
345	921	1740
346	922	1735
347	923	1730
348	924	1724
349	925	1719
350	929	1717
351	931	1714
352	932	1709
353	934	1705
354	935	1700
355	938	1698
356	940	1693
357	941	1689
358	943	1684
359	944	1679
360	946	1675
361	947	1670
362	949	1665
363	950	1660
364	952	1657
365	954	1653
366	956	1649
367	961	1650
368	963	1648
369	971	1654
370	981	1664
371	986	1664
372	991	1666
373	993	1663
374	999	1666
375	1001	1662
376	1011	1671
377	1018	1676
378	1020	1672
379	1023	1669
380	1024	1665
381	1026	1660
382	1027	1655
383	1029	1651
384	1030	1646
385	1032	1642
386	1034	1637
387	1035	1633
388	1039	1632
389	1040	1628
390	1042	1623
391	1043	1618
392	1044	1613
393	1046	1609
394	1047	1605
395	1049	1600
396	1050	1595
397	1053	1592
398	1054	1589
399	1058	1587
400	1059	1582
401	1060	1578
402	1062	1573
403	1063	1568
404	1066	1567
405	1069	1564
406	1070	1560
407	1072	1555
408	1073	1550
409	1075	1548
410	1077	1543
411	1078	1539
412	1080	1535
413	1081	1531
414	1085	1530
415	1087	1526
416	1089	1523
417	1091	1519
418	1092	1515
419	1094	1511
420	1096	1507
421	1099	1505
422	1101	1502
423	1103	1498
424	1104	1494
425	1106	1490
426	1107	1486
427	1109	1482
428	1112	1480
429	1115	1478
430	1117	1474
431	1118	1470
432	1122	1470
433	1124	1466
434	1125	1462
435	1126	1457
436	1128	1453
437	1131	1451
438	1132	1447
439	1134	1443
440	1135	1439
441	1137	1435
442	1140	1433
443	1141	1429
444	1142	1425
